county,income,population,households,date,case_sum,death_sum,apple_avg,retail_avg,grocery_avg,parks_avg,transit_avg,work_avg,res_avg,cases,deaths
JeffersonAL,45429,658552,259634,2/26/20,0,0,111.4042857,-0.857142857,-2,10.57142857,-0.714285714,-1.857142857,1.428571429,0,0
JeffersonAL,45429,658552,259634,2/27/20,0,0,112.1471429,-1,-1.857142857,5.285714286,-0.571428571,-1.285714286,1.285714286,0,0
JeffersonAL,45429,658552,259634,2/28/20,0,0,111.0371429,-1.571428571,-1.714285714,3.428571429,0.428571429,-1.285714286,1.285714286,0,0
JeffersonAL,45429,658552,259634,2/29/20,0,0,112.1614286,-2.857142857,-2.428571429,-4.571428571,-0.142857143,0.571428571,1,0,0
JeffersonAL,45429,658552,259634,3/1/20,0,0,112.95,-0.857142857,-0.857142857,2.142857143,0.714285714,1.142857143,0.571428571,0,0
JeffersonAL,45429,658552,259634,3/2/20,0,0,113.2071429,0.571428571,-0.428571429,2.285714286,1.285714286,1.142857143,0.428571429,0,0
JeffersonAL,45429,658552,259634,3/3/20,0,0,114.1557143,3.142857143,1.285714286,9,2.428571429,1.571428571,-0.142857143,0,0
JeffersonAL,45429,658552,259634,3/4/20,0,0,114.8428571,4.571428571,2.142857143,10.28571429,3,1.571428571,-0.428571429,0,0
JeffersonAL,45429,658552,259634,3/5/20,0,0,115.8128571,6.142857143,3.142857143,13.14285714,3.428571429,1.714285714,-0.714285714,0,0
JeffersonAL,45429,658552,259634,3/6/20,0,0,116.7357143,8.142857143,4.571428571,18.57142857,3.714285714,2.142857143,-1,0,0
JeffersonAL,45429,658552,259634,3/7/20,0,0,115.6285714,9.571428571,5.857142857,19.28571429,4.142857143,2.285714286,-1.142857143,0,0
JeffersonAL,45429,658552,259634,3/8/20,0,0,115.57,11.57142857,7.857142857,25.71428571,3.428571429,2.142857143,-1.285714286,0,0
JeffersonAL,45429,658552,259634,3/9/20,0,0,115.2714286,10.42857143,7,22.14285714,2.285714286,2,-1,0,0
JeffersonAL,45429,658552,259634,3/10/20,0,0,115.7185714,9.428571429,7,17.57142857,1.285714286,1.857142857,-0.714285714,0,0
JeffersonAL,45429,658552,259634,3/11/20,0,0,116.4842857,9.285714286,7,19,0.714285714,2,-0.714285714,0,0
JeffersonAL,45429,658552,259634,3/12/20,0,0,118.1185714,9.142857143,6.857142857,22.28571429,1,1.857142857,-0.714285714,0,0
JeffersonAL,45429,658552,259634,3/13/20,0,0,119.12,8.714285714,6.428571429,25.42857143,1.714285714,1.714285714,-0.571428571,1,0
JeffersonAL,45429,658552,259634,3/14/20,0,0,119.9457143,9.428571429,7.285714286,37.57142857,2,1.857142857,-0.857142857,4,0
JeffersonAL,45429,658552,259634,3/15/20,0,0,120.2342857,7.571428571,6.142857143,30,1.714285714,1.571428571,-0.571428571,7,0
JeffersonAL,45429,658552,259634,3/16/20,0,0,120.3228571,8,7,35.57142857,2,1.571428571,-0.714285714,5,0
JeffersonAL,45429,658552,259634,3/17/20,0,0,119.3357143,8.571428571,9.714285714,45.71428571,2,1.571428571,-1,4,0
JeffersonAL,45429,658552,259634,3/18/20,1,0,115.8228571,7.285714286,14.14285714,41.28571429,0.857142857,1,-0.571428571,4,0
JeffersonAL,45429,658552,259634,3/19/20,5,0,111.2685714,5,17,38.85714286,0.142857143,0.571428571,-0.142857143,9,0
JeffersonAL,45429,658552,259634,3/20/20,12,0,107.6957143,1.428571429,18.28571429,27.28571429,-3.142857143,-0.571428571,0.571428571,16,0
JeffersonAL,45429,658552,259634,3/21/20,17,0,104.3585714,-1,20.85714286,22.57142857,-4.714285714,-3,1.571428571,11,0
JeffersonAL,45429,658552,259634,3/22/20,21,0,99.53285714,-5,22.42857143,25.28571429,-6.571428571,-6.571428571,3,10,0
JeffersonAL,45429,658552,259634,3/23/20,25,0,94.47857143,-9.428571429,23.42857143,30.42857143,-8.571428571,-11,4.571428571,15,0
JeffersonAL,45429,658552,259634,3/24/20,34,0,88.06857143,-14.57142857,22.14285714,26.57142857,-11.57142857,-15.85714286,6.571428571,5,0
JeffersonAL,45429,658552,259634,3/25/20,49,0,81.23428571,-19.57142857,18.42857143,28,-14.85714286,-20.71428571,8.714285714,38,0
JeffersonAL,45429,658552,259634,3/26/20,56,0,73.84,-25.42857143,14.71428571,17.14285714,-19.42857143,-24.42857143,10.28571429,40,0
JeffersonAL,45429,658552,259634,3/27/20,59,0,69.87857143,-30.14285714,11.14285714,18.28571429,-23.14285714,-28.28571429,11.28571429,10,0
JeffersonAL,45429,658552,259634,3/28/20,69,0,65.55,-35.14285714,5.571428571,8.571428571,-27.14285714,-32,13.14285714,35,0
JeffersonAL,45429,658552,259634,3/29/20,70,0,62.89428571,-37.57142857,2.571428571,5.571428571,-29.71428571,-34.57142857,14.14285714,32,0
JeffersonAL,45429,658552,259634,3/30/20,104,0,60.96571429,-39.57142857,0,4.285714286,-31.85714286,-36.42857143,15,11,0
JeffersonAL,45429,658552,259634,3/31/20,135,0,59.87857143,-41.28571429,-3.285714286,4.857142857,-33.14285714,-38,15.71428571,25,0
JeffersonAL,45429,658552,259634,4/1/20,129,0,58.81571429,-42.28571429,-5.714285714,8.142857143,-34.14285714,-39.28571429,16.14285714,23,0
JeffersonAL,45429,658552,259634,4/2/20,153,0,58.25571429,-42.57142857,-7,10,-34.71428571,-40.14285714,16.14285714,27,0
JeffersonAL,45429,658552,259634,4/3/20,175,0,58.46571429,-42.42857143,-7.714285714,13,-35.57142857,-40.42857143,16.14285714,37,0
JeffersonAL,45429,658552,259634,4/4/20,171,0,59.28142857,-41.71428571,-7.571428571,22.57142857,-35.28571429,-40.71428571,15.85714286,7,0
JeffersonAL,45429,658552,259634,4/5/20,191,0,59.15428571,-42,-8.857142857,17.28571429,-36,-41.14285714,16.28571429,42,4
JeffersonAL,45429,658552,259634,4/6/20,176,0,59.49,-41,-7.142857143,17.28571429,-35.85714286,-41.42857143,16.28571429,20,1
JeffersonAL,45429,658552,259634,4/7/20,163,0,59.55857143,-40.57142857,-6,16.57142857,-36,-41.57142857,16.42857143,23,0
JeffersonAL,45429,658552,259634,4/8/20,190,0,59.94,-39.71428571,-3.428571429,15.71428571,-35.85714286,-41.57142857,16.28571429,31,1
JeffersonAL,45429,658552,259634,4/9/20,162,0,59.49142857,-39.71428571,-0.428571429,12,-36.28571429,-41.85714286,16.42857143,31,0
JeffersonAL,45429,658552,259634,4/10/20,172,4,58.93428571,-40.85714286,-0.571428571,8.142857143,-36.71428571,-42.71428571,16.71428571,32,2
JeffersonAL,45429,658552,259634,4/11/20,181,5,58.65,-41.57142857,-0.571428571,4.857142857,-36.71428571,-43,17,24,0
JeffersonAL,45429,658552,259634,4/12/20,179,5,58.35857143,-42.28571429,-0.857142857,3.571428571,-37.28571429,-43.28571429,17.14285714,18,0
JeffersonAL,45429,658552,259634,4/13/20,187,6,57.67428571,-43.71428571,-2.857142857,-2,-38.14285714,-43.57142857,17.57142857,20,0
JeffersonAL,45429,658552,259634,4/14/20,191,6,57.67428571,-44.28571429,-3.714285714,-4,-39,-44,17.71428571,3,2
JeffersonAL,45429,658552,259634,4/15/20,186,8,57.53285714,-45,-5.714285714,-7,-40.28571429,-45,18.14285714,8,1
JeffersonAL,45429,658552,259634,4/16/20,203,8,58.39428571,-44.85714286,-7.285714286,-5.428571429,-40.28571429,-45.14285714,18,6,3
JeffersonAL,45429,658552,259634,4/17/20,179,4,56.84857143,-47.14285714,-12.57142857,-12.42857143,-42,-46.28571429,18.28571429,11,0
JeffersonAL,45429,658552,259634,4/18/20,179,3,57.77714286,-46.57142857,-13.14285714,-14.71428571,-42.71428571,-46.28571429,18,28,1
JeffersonAL,45429,658552,259634,4/19/20,159,5,59.43,-45.42857143,-12.71428571,-9.142857143,-42.14285714,-45.85714286,17.57142857,9,0
JeffersonAL,45429,658552,259634,4/20/20,136,5,61.23714286,-43.57142857,-12.14285714,-8.857142857,-42.14285714,-45.42857143,17.14285714,6,0
JeffersonAL,45429,658552,259634,4/21/20,111,8,62.54285714,-42.57142857,-12.14285714,-9.857142857,-41.71428571,-44.85714286,16.85714286,12,1
JeffersonAL,45429,658552,259634,4/22/20,90,6,64.24,-42,-13,-8.142857143,-40.85714286,-43.85714286,16.42857143,44,14
JeffersonAL,45429,658552,259634,4/23/20,94,7,65.84571429,-41.42857143,-14.42857143,-9.428571429,-40.85714286,-43.14285714,16.28571429,34,1
JeffersonAL,45429,658552,259634,4/24/20,85,7,67.52285714,-39.28571429,-11.28571429,-10.28571429,-40.71428571,-42.14285714,16.28571429,19,2
JeffersonAL,45429,658552,259634,4/25/20,71,7,69.29142857,-38.28571429,-10.14285714,21.63823325,-39.85714286,-41.85714286,16.28571429,31,0
JeffersonAL,45429,658552,259634,4/26/20,80,6,70.35428571,-37.28571429,-9.428571429,-10.91760872,-39.42857143,-41.71428571,16.14285714,11,0
JeffersonAL,45429,658552,259634,4/27/20,116,19,71.25857143,-37.85714286,-9.857142857,41.73112475,-38.85714286,-41.71428571,16.28571429,0,3
JeffersonAL,45429,658552,259634,4/28/20,144,17,70.63428571,-38.71428571,-10.85714286,16.95916155,-40,-42,16.71428571,22,5
JeffersonAL,45429,658552,259634,4/29/20,152,19,71.34714286,-38.57142857,-10.85714286,-28.25860304,-40,-41.85714286,16.71428571,20,3
JeffersonAL,45429,658552,259634,4/30/20,155,18,72.21571429,-38.57142857,-11,-9.314348102,-40,-41.71428571,16.71428571,5,2
JeffersonAL,45429,658552,259634,5/1/20,157,18,74.75714286,-36.28571429,-8.142857143,45.12772196,-37.85714286,-40.57142857,16,43,2
JeffersonAL,45429,658552,259634,5/2/20,151,21,74.90285714,-36,-8.714285714,10.62714188,-37.28571429,-40.42857143,15.85714286,17,0
JeffersonAL,45429,658552,259634,5/3/20,161,25,75.39428571,-36,-8.857142857,5.118194949,-36.85714286,-40.28571429,14.85714286,23,0
